rt,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,correct,stimulus,success,timeout,failed_images,failed_audio,failed_video,question_order,accuracy,participant_id,ctime
2596,"{""Q0"":""Sarah""}",survey-text,0,2607,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
2983,0,html-button-response,1,5593,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
NA,NA,preload,2,5698,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
2360,0,html-button-response,3,8059,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
8980.200000047684,"{""stimFIRST"":73,""stimSECOND"":22}",multiple-slider,4,17044,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
3364,"{""P0_Q0"":null,""age"":"""",""gender"":"""",""language"":"""",""amE"":"""",""edu"":"""",""comments"":""""}",survey,5,20449,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who volunteered at the pet shelter before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who loves animals, volunteered at the pet shelter <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop volunteering at the pet shelter when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley volunteered at the pet shelter after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""petshelter"",""image"":""petshelter-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],a47193ab-baf8-4ab0-9f3b-12d38b13db77,2025-11-16 20:59:09 CET
10678,"{""Q0"":""Jennifer""}",survey-text,0,10683,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
2206,0,html-button-response,1,12890,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
NA,NA,preload,2,14000,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
5456,0,html-button-response,3,19456,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who biked to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who lives twenty miles away from work, biked to work <b>BEFORE</b> he got promoted. Mike's assistant asks him:"",""utterance"":""Did Charley stop biking to work when he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,8b320f8a-2749-4fef-bcde-ca83092de305,2025-11-17 12:25:37 CET
